id,name,place,year,lat,long,lat_long
0,"Richer, Christophe",Denmark,1543,55.68,12.57,"55.68, 12.57"
1,"Richer, Christophe",Denmark,1541,55.68,12.57,"55.68, 12.57"
2,"Danzay, Charles de",Denmark,1561,55.68,12.57,"55.68, 12.57"
3,"Danzay, Charles de",Denmark,1563,55.68,12.57,"55.68, 12.57"
4,"Danzay, Charles de",Denmark,1582,55.68,12.57,"55.68, 12.57"
5,"Bapaume, Robert de",England,1516,51.51,-0.12,"51.51, -0.12"
6,"Passano, Jean-Joachim de",England,1527,51.51,-0.12,"51.51, -0.12"
7,De Monpreat,England,1532,51.51,-0.12,"51.51, -0.12"
8,"Du Bellay, Jean",England,1530,51.51,-0.12,"51.51, -0.12"
9,"Castelnau, Antoine de",England,1534,51.51,-0.12,"51.51, -0.12"
10,"De Selve, Odet",England,1547,51.51,-0.12,"51.51, -0.12"
11,"Castelneau, Michel de",England,1580,51.51,-0.12,"51.51, -0.12"
12,"Castelneau, Michel de",England,1585,51.51,-0.12,"51.51, -0.12"
13,"La Fin, Jean de",England,1592,51.51,-0.12,"51.51, -0.12"
14,"La Mothe-Fénélon, Bertrand de Salignac de",England,1570,51.51,-0.12,"51.51, -0.12"
15,"Boistaillé, Jean Hurault de",Geneva,1560,46.21,6.14,"46.21, 6.14"
16,"Castion, Jean-Jacques de",Grisons,1543,46.66,9.63,"46.66, 9.63"
17,"Monstiers, Jean de",Grisons,1553,46.66,9.63,"46.66, 9.63"
18,"Salazar, Louis de",Grisons,1554,46.66,9.63,"46.66, 9.63"
19,"Gredio, Christian",Grisons,1560,46.66,9.63,"46.66, 9.63"
20,"Crassier, Bernard de",Grisons,1566,46.66,9.63,"46.66, 9.63"
21,"Grangier, Jean",Grisons,1575,46.66,9.63,"46.66, 9.63"
22,"Florin, Jean",Grisons,1578,46.66,9.63,"46.66, 9.63"
23,"Bochetel, Bernardin",Holy Roman Empire,1567,48.21,16.36,"48.21, 16.36"
